#D = 0.500000, cgrav = 100.000000, Ts = 0.0001924225500324, At = 0.1963495408469872, yt = 0.4999999814867804 
#A                  h(A)                   I(A)                  c(A)                  phi(A)                  A(phi(A))                  A(h(A))   htrue(A)
0.0000000000000000   0.0000000000000000    0.0000000000000000   0.0000000000000000   0.0000000000000000   0.0000000000000000   0.0000000000000000    0.0000000000000000
0.0000000103353440   0.0000049347859657    0.0000000000001999   0.0040150134049283   0.0120450243628261   0.0000000103354461   0.0000000103353440    0.0000049347859657
0.0000000826807932   0.0000197389490459    0.0000000000063976   0.0080300109596575   0.0240899060708883   0.0000000826809434   0.0000000826807932    0.0000197389490460
0.0000002790366607   0.0000444119047977    0.0000000000485792   0.0120449768158392   0.0361345024697878   0.0000002790368221   0.0000002790366607    0.0000444119047978
0.0000006613836771   0.0000789526791750    0.0000000002046974   0.0160598951287878   0.0481786709085676   0.0000006613838286   0.0000006613836771    0.0000789526791750
0.0000012916732026   0.0001233599085671    0.0000000006246287   0.0200747500593037   0.0602222687409934   0.0000012916733353   0.0000012916732026    0.0001233599085671
0.0000022318174444   0.0001776318398527    0.0000000015540993   0.0240895257755261   0.0722651533269864   0.0000022318175581   0.0000022318174444    0.0001776318398527
0.0000035436796803   0.0002417663304688    0.0000000033585696   0.0281042064547665   0.0843071820340816   0.0000035436797793   0.0000035436796803    0.0002417663304688
0.0000052890644893   0.0003157608484956    0.0000000065470661   0.0321187762853333   0.0963482122389129   0.0000052890645799   0.0000052890644893    0.0003157608484956
0.0000075297079922   0.0003996124727562    0.0000000117959521   0.0361332194683814   0.1083881013287779   0.0000075297080804   0.0000075297079922    0.0003996124727562
0.0000103272681027   0.0004933178929321    0.0000000199726244   0.0401475202197414   0.1204267067031570   0.0000103272681927   0.0000103272681027    0.0004933178929321
0.0000137433147910   0.0005968734096937    0.0000000321591276   0.0441616627717681   0.1324638857752865   0.0000137433148842   0.0000137433147910    0.0005968734096937
0.0000178393203610   0.0007102749348465    0.0000000496756755   0.0481756313751780   0.1444994959736930   0.0000178393204563   0.0000178393203610    0.0007102749348465
0.0000226766497433   0.0008335179914925    0.0000000741040679   0.0521894103008966   0.1565333947437413   0.0000226766498370   0.0000226766497433    0.0008335179914925
0.0000283165508048   0.0009665977142069    0.0000001073109947   0.0562029838419039   0.1685654395491706   0.0000283165508913   0.0000283165508048    0.0009665977142069
0.0000348201446770   0.0011095088492300    0.0000001514712155   0.0602163363150889   0.1805954878736417   0.0000348201447497   0.0000348201446770    0.0011095088492300
